video_id,frame_number,child_id,age,cds_present,face_present,child_present,adult_present,person_age_class,proximity,gaze_direction
3,28240,263190,3.73,0,0,0,0,none,,none
3,28290,263190,3.73,0,0,0,0,none,,none
3,28990,263190,3.73,0,0,0,0,none,,none
3,29200,263190,3.73,0,0,0,0,none,,none
3,29210,263190,3.73,0,0,0,0,none,,none
3,29250,263190,3.73,0,0,0,0,none,,none
3,29820,263190,3.73,0,0,0,1,adult,,none
3,29830,263190,3.73,0,0,1,0,child,,none
3,30530,263190,3.73,1,0,0,1,adult,,none
3,30840,263190,3.73,0,0,0,0,none,,none
3,39050,263190,3.73,0,0,0,0,none,,none
3,39100,263190,3.73,0,0,0,0,none,,none
3,39330,263190,3.73,0,0,0,0,none,,none
3,39380,263190,3.73,1,0,0,0,none,,none
3,40110,263190,3.73,0,0,0,0,none,,none
3,40260,263190,3.73,0,0,0,0,none,,none
3,40270,263190,3.73,0,0,0,0,none,,none
3,41180,263190,3.73,1,0,0,0,none,,none
3,41630,263190,3.73,0,0,0,1,adult,,none
3,41890,263190,3.73,1,0,0,0,none,,none
3,41970,263190,3.73,0,0,0,0,none,,none
3,42760,263190,3.73,0,0,0,0,none,,none
3,42840,263190,3.73,1,0,0,0,none,,none
3,43200,263190,3.73,0,0,0,0,none,,none
3,43450,263190,3.73,0,0,1,0,child,,none
3,43770,263190,3.73,0,0,0,1,adult,,none
3,44040,263190,3.73,1,0,0,1,adult,,none
3,44230,263190,3.73,0,0,0,1,adult,,none
3,44890,263190,3.73,0,1,0,1,adult,1.0,1.0
3,45190,263190,3.73,0,0,0,0,none,,none
3,45250,263190,3.73,0,0,0,0,none,,none
3,45280,263190,3.73,0,0,0,0,none,,none
3,45550,263190,3.73,0,1,1,1,both,0.4627022252099299,1.0
3,45880,263190,3.73,0,1,0,1,adult,0.5733680491858709,0.0
3,46040,263190,3.73,0,0,1,0,child,,none
3,46380,263190,3.73,0,0,0,0,none,,none
3,47190,263190,3.73,0,0,0,0,none,,none
3,47820,263190,3.73,0,0,0,0,none,,none
3,48410,263190,3.73,0,0,0,0,none,,none
3,48790,263190,3.73,0,1,1,0,child,0.3350705011915866,1.0
3,48980,263190,3.73,0,0,0,1,adult,,none
3,49090,263190,3.73,0,1,1,0,child,0.6501362456845301,1.0
3,49260,263190,3.73,0,0,0,1,adult,,none
3,49420,263190,3.73,1,1,1,1,both,1.0,1.0
3,49870,263190,3.73,0,0,1,0,child,,none
3,50150,263190,3.73,0,0,1,1,both,,none
3,50420,263190,3.73,0,0,0,1,adult,,none
3,50680,263190,3.73,0,0,0,1,adult,,none
3,50790,263190,3.73,0,1,1,1,both,1.0,1.0
3,50950,263190,3.73,0,1,0,1,adult,0.38624621569946244,1.0
3,51310,263190,3.73,0,0,0,0,none,,none
3,52020,263190,3.73,1,0,0,0,none,,none
3,52390,263190,3.73,0,0,0,0,none,,none
3,52520,263190,3.73,0,0,0,0,none,,none
3,52600,263190,3.73,0,0,0,0,none,,none
3,52720,263190,3.73,0,0,0,0,none,,none
3,52950,263190,3.73,0,0,0,1,adult,,none
3,53170,263190,3.73,1,0,0,1,adult,,none
3,53780,263190,3.73,0,0,0,0,none,,none
25,280,267529,3.25,0,0,0,0,none,,none
25,480,267529,3.25,0,0,0,0,none,,none
25,1210,267529,3.25,0,0,0,0,none,,none
25,1290,267529,3.25,0,0,0,0,none,,none
25,1420,267529,3.25,0,0,0,0,none,,none
25,1610,267529,3.25,0,0,0,1,adult,,none
25,1680,267529,3.25,0,0,0,0,none,,none
25,2060,267529,3.25,0,0,0,0,none,,none
25,2320,267529,3.25,0,0,0,0,none,,none
25,2690,267529,3.25,0,0,0,0,none,,none
25,3320,267529,3.25,0,0,0,0,none,,none
25,4910,267529,3.25,0,0,0,0,none,,none
25,5160,267529,3.25,0,0,0,0,none,,none
25,5280,267529,3.25,0,0,0,0,none,,none
25,5720,267529,3.25,0,0,0,0,none,,none
25,5930,267529,3.25,0,0,0,0,none,,none
25,6010,267529,3.25,0,0,0,0,none,,none
25,6330,267529,3.25,0,0,0,0,none,,none
25,6440,267529,3.25,0,0,0,0,none,,none
25,6510,267529,3.25,0,0,0,0,none,,none
25,6960,267529,3.25,0,0,0,0,none,,none
25,8780,267529,3.25,0,0,0,0,none,,none
25,8850,267529,3.25,0,0,0,0,none,,none
25,9070,267529,3.25,0,0,0,1,adult,,none
25,11390,267529,3.25,0,0,0,1,adult,,none
25,11430,267529,3.25,0,0,0,1,adult,,none
25,11530,267529,3.25,0,0,0,1,adult,,none
25,12300,267529,3.25,0,0,0,0,none,,none
25,12310,267529,3.25,0,0,0,0,none,,none
25,12330,267529,3.25,0,0,0,0,none,,none
25,12400,267529,3.25,0,0,0,0,none,,none
25,12730,267529,3.25,0,0,0,0,none,,none
25,12800,267529,3.25,0,0,0,0,none,,none
25,13210,267529,3.25,0,0,0,0,none,,none
25,13300,267529,3.25,0,0,0,0,none,,none
25,14120,267529,3.25,0,0,0,1,adult,,none
25,14280,267529,3.25,0,0,0,1,adult,,none
25,14420,267529,3.25,0,0,0,1,adult,,none
25,14580,267529,3.25,0,0,0,1,adult,,none
25,14660,267529,3.25,0,0,0,1,adult,,none
25,14710,267529,3.25,0,0,0,1,adult,,none
25,14970,267529,3.25,0,0,0,0,none,,none
25,15550,267529,3.25,0,0,1,0,child,,none
25,15920,267529,3.25,0,0,0,0,none,,none
25,16050,267529,3.25,0,0,0,0,none,,none
25,16650,267529,3.25,0,0,0,0,none,,none
25,17650,267529,3.25,0,0,0,0,none,,none
25,17960,267529,3.25,0,0,0,0,none,,none
25,18530,267529,3.25,0,0,0,0,none,,none
25,18770,267529,3.25,0,0,0,0,none,,none
25,18980,267529,3.25,0,0,0,0,none,,none
25,19070,267529,3.25,0,0,0,0,none,,none
25,19150,267529,3.25,0,0,0,0,none,,none
25,19320,267529,3.25,0,0,0,0,none,,none
25,19710,267529,3.25,0,0,0,0,none,,none
25,20350,267529,3.25,0,0,0,1,adult,,none
25,21270,267529,3.25,0,0,0,1,adult,,none
25,21500,267529,3.25,0,0,0,1,adult,,none
25,21860,267529,3.25,0,0,0,1,adult,,none
25,21890,267529,3.25,0,0,0,0,none,,none
25,22010,267529,3.25,0,0,0,0,none,,none
25,22020,267529,3.25,0,0,0,0,none,,none
25,22190,267529,3.25,0,0,0,0,none,,none
25,22350,267529,3.25,0,0,0,0,none,,none
25,22490,267529,3.25,0,0,0,1,adult,,none
25,22590,267529,3.25,0,0,0,0,none,,none
25,22900,267529,3.25,0,1,0,1,adult,1.0,1.0
25,23100,267529,3.25,0,1,0,1,adult,0.7752459513228462,1.0
25,23590,267529,3.25,0,0,0,1,adult,,none
25,23810,267529,3.25,0,1,0,1,adult,1.0,1.0
25,25150,267529,3.25,0,0,1,0,child,,none
25,25170,267529,3.25,0,0,0,0,none,,none
25,25650,267529,3.25,0,0,0,1,adult,,none
25,25970,267529,3.25,0,1,0,0,none,0.6767896982274354,1.0
25,26270,267529,3.25,0,1,0,1,adult,0.9466359838742463,0.0
44,40,264556,4.31,0,0,0,1,adult,,none
44,50,264556,4.31,0,0,0,1,adult,,none
44,670,264556,4.31,0,1,0,1,adult,0.954659611757964,0.0
44,970,264556,4.31,0,1,1,1,both,0.37654575260072043,0.0
44,1180,264556,4.31,0,0,1,1,both,,none
44,1270,264556,4.31,0,1,0,1,adult,0.4783582801294727,0.0
44,1840,264556,4.31,0,0,1,1,both,,none
44,2590,264556,4.31,0,0,0,1,adult,,none
44,2770,264556,4.31,0,1,1,1,both,0.31808083263745557,1.0
44,3220,264556,4.31,0,1,0,1,adult,0.7275475629428033,1.0
44,4060,264556,4.31,0,1,0,1,adult,0.4208317626724091,1.0
44,4270,264556,4.31,0,0,0,0,none,,none
44,4720,264556,4.31,0,1,1,1,both,0.6363501969821693,1.0
44,4920,264556,4.31,0,1,0,1,adult,0.6559903362900908,1.0
44,5380,264556,4.31,0,1,0,1,adult,0.5082952548262296,0.0
44,5610,264556,4.31,0,0,0,0,none,,none
44,6590,264556,4.31,0,0,0,0,none,,none
44,7000,264556,4.31,0,0,0,0,none,,none
44,7450,264556,4.31,0,0,0,1,adult,,none
44,7530,264556,4.31,0,0,0,0,none,,none
44,7640,264556,4.31,0,0,0,0,none,,none
44,7770,264556,4.31,0,0,0,0,none,,none
44,7990,264556,4.31,0,0,0,0,none,,none
44,8130,264556,4.31,0,1,0,1,adult,0.7490874659877506,1.0
44,8860,264556,4.31,0,1,0,1,adult,0.6019191380961432,0.0
44,8910,264556,4.31,0,0,0,0,none,,none
44,9200,264556,4.31,0,0,0,0,none,,none
44,10020,264556,4.31,0,0,0,1,adult,,none
44,10530,264556,4.31,0,0,1,0,child,,none
44,10590,264556,4.31,0,1,0,1,adult,0.606515818985697,1.0
44,10900,264556,4.31,0,1,1,1,both,0.8180465798649585,1.0
44,11000,264556,4.31,0,1,0,1,adult,1.0,1.0
44,11230,264556,4.31,0,1,0,1,adult,1.0,0.0
44,11440,264556,4.31,0,0,0,1,adult,,none
44,12100,264556,4.31,0,0,0,0,none,,none
44,12110,264556,4.31,0,0,0,1,adult,,none
44,12160,264556,4.31,0,1,0,1,adult,0.7606494144652465,0.0
44,12200,264556,4.31,0,1,1,1,both,0.734889804608295,1.0
44,12260,264556,4.31,0,1,0,1,adult,1.0,1.0
44,12300,264556,4.31,0,0,0,0,none,,none
44,12470,264556,4.31,0,0,0,1,adult,,none
44,12680,264556,4.31,0,1,0,1,adult,0.8162242184738744,0.0
44,13000,264556,4.31,0,1,0,1,adult,0.6377574202951419,1.0
44,13460,264556,4.31,0,1,1,1,both,1.0,1.0
44,13470,264556,4.31,0,1,0,1,adult,0.7861829632447412,1.0
44,13480,264556,4.31,0,1,0,1,adult,0.8144760884991471,0.0
44,13520,264556,4.31,0,1,1,1,both,1.0,1.0
44,13650,264556,4.31,0,0,0,1,adult,,none
44,14160,264556,4.31,0,1,0,1,adult,1.0,1.0
44,14520,264556,4.31,0,1,0,1,adult,0.7996791941953896,1.0
44,14920,264556,4.31,0,1,1,1,both,0.7546436543891073,1.0
44,15020,264556,4.31,0,1,0,1,adult,0.7592755993370439,1.0
44,15210,264556,4.31,0,1,0,1,adult,1.0,0.0
44,15540,264556,4.31,0,1,0,1,adult,1.0,1.0
44,15560,264556,4.31,0,0,0,1,adult,,none
44,15630,264556,4.31,0,1,0,1,adult,1.0,1.0
44,15760,264556,4.31,0,0,0,1,adult,,none
44,16280,264556,4.31,0,0,1,1,both,,none
44,16410,264556,4.31,0,1,0,1,adult,0.72342885523327,0.0
44,17070,264556,4.31,0,0,0,1,adult,,none
44,17630,264556,4.31,0,1,0,1,adult,0.6643355165552646,1.0
44,17910,264556,4.31,0,1,0,1,adult,1.0,1.0
44,18800,264556,4.31,0,0,0,1,adult,,none
44,18910,264556,4.31,0,1,0,1,adult,0.6834164896243711,1.0
44,19030,264556,4.31,0,0,0,0,none,,none
44,19200,264556,4.31,0,0,0,0,none,,none
44,19350,264556,4.31,0,0,0,1,adult,,none
44,19740,264556,4.31,0,0,0,0,none,,none
44,19970,264556,4.31,0,0,0,0,none,,none
44,20230,264556,4.31,0,0,1,0,child,,none
44,21200,264556,4.31,0,0,0,1,adult,,none
