video_id,frame_number,child_id,age,child_present,adult_present,person_age_class
4,40,257511,3.84,0,1,adult
4,1400,257511,3.84,0,1,adult
4,5330,257511,3.84,1,0,child
4,5340,257511,3.84,1,0,child
4,5930,257511,3.84,1,0,child
4,6050,257511,3.84,1,0,child
4,6180,257511,3.84,1,0,child
4,6290,257511,3.84,1,0,child
4,6510,257511,3.84,1,0,child
4,6680,257511,3.84,1,0,child
4,6890,257511,3.84,1,1,both
4,6940,257511,3.84,1,1,both
4,7900,257511,3.84,1,0,child
4,8110,257511,3.84,1,0,child
4,8270,257511,3.84,1,0,child
4,8540,257511,3.84,1,0,child
4,8710,257511,3.84,1,0,child
4,8800,257511,3.84,1,0,child
4,12530,257511,3.84,1,0,child
4,13200,257511,3.84,0,1,adult
4,13910,257511,3.84,1,0,child
4,14080,257511,3.84,1,0,child
4,14130,257511,3.84,1,0,child
4,14160,257511,3.84,1,0,child
4,19170,257511,3.84,1,0,child
4,19780,257511,3.84,1,0,child
4,20610,257511,3.84,1,0,child
4,20620,257511,3.84,1,0,child
4,20650,257511,3.84,1,0,child
4,20720,257511,3.84,1,0,child
4,20820,257511,3.84,1,0,child
4,24930,257511,3.84,0,1,adult
4,25540,257511,3.84,1,0,child
8,50,266971,3.59,0,1,adult
8,180,266971,3.59,1,0,child
8,3750,266971,3.59,0,1,adult
8,4370,266971,3.59,0,1,adult
8,4640,266971,3.59,0,1,adult
8,4670,266971,3.59,0,1,adult
8,4970,266971,3.59,1,0,child
8,4980,266971,3.59,0,1,adult
8,7530,266971,3.59,1,0,child
8,9550,266971,3.59,0,1,adult
8,11520,266971,3.59,1,0,child
8,13310,266971,3.59,0,1,adult
8,14360,266971,3.59,1,0,child
8,14400,266971,3.59,0,1,adult
8,15430,266971,3.59,1,1,both
8,15770,266971,3.59,0,1,adult
8,16610,266971,3.59,0,1,adult
8,16760,266971,3.59,0,1,adult
8,17160,266971,3.59,0,1,adult
8,18170,266971,3.59,1,0,child
8,18210,266971,3.59,0,1,adult
8,18420,266971,3.59,1,1,both
8,18810,266971,3.59,0,1,adult
8,19500,266971,3.59,0,1,adult
8,19540,266971,3.59,0,1,adult
8,19620,266971,3.59,0,1,adult
8,20130,266971,3.59,1,1,both
8,20230,266971,3.59,1,0,child
8,20320,266971,3.59,0,1,adult
8,20340,266971,3.59,0,1,adult
8,20420,266971,3.59,0,1,adult
8,20540,266971,3.59,1,1,both
8,21220,266971,3.59,1,1,both
8,21270,266971,3.59,1,0,child
8,21390,266971,3.59,1,1,both
8,21990,266971,3.59,1,1,both
8,22070,266971,3.59,0,1,adult
8,22130,266971,3.59,1,1,both
8,22200,266971,3.59,0,1,adult
8,22630,266971,3.59,1,1,both
8,22840,266971,3.59,0,1,adult
8,25750,266971,3.59,0,1,adult
8,26000,266971,3.59,0,1,adult
8,28980,266971,3.59,1,0,child
8,29110,266971,3.59,1,0,child
8,30300,266971,3.59,0,1,adult
8,31070,266971,3.59,0,1,adult
8,32240,266971,3.59,0,1,adult
8,32780,266971,3.59,0,1,adult
8,33550,266971,3.59,0,1,adult
8,33740,266971,3.59,1,1,both
8,33900,266971,3.59,0,1,adult
8,34190,266971,3.59,1,1,both
8,34400,266971,3.59,0,1,adult
8,34600,266971,3.59,0,1,adult
8,34680,266971,3.59,1,1,both
8,34890,266971,3.59,1,1,both
8,35210,266971,3.59,1,1,both
8,35420,266971,3.59,0,1,adult
8,35570,266971,3.59,1,1,both
8,35940,266971,3.59,1,0,child
8,36260,266971,3.59,0,1,adult
8,37380,266971,3.59,0,1,adult
8,37610,266971,3.59,0,1,adult
8,39260,266971,3.59,1,0,child
8,39280,266971,3.59,1,0,child
8,40240,266971,3.59,1,0,child
8,41570,266971,3.59,0,1,adult
8,41880,266971,3.59,0,1,adult
8,42390,266971,3.59,0,1,adult
8,43180,266971,3.59,0,1,adult
8,43320,266971,3.59,0,1,adult
8,47550,266971,3.59,1,0,child
8,47970,266971,3.59,0,1,adult
8,49220,266971,3.59,1,0,child
8,49290,266971,3.59,1,0,child
8,49450,266971,3.59,1,0,child
8,49720,266971,3.59,1,0,child
8,49810,266971,3.59,1,0,child
8,50470,266971,3.59,1,0,child
8,50620,266971,3.59,1,0,child
8,51370,266971,3.59,0,1,adult
8,51750,266971,3.59,0,1,adult
8,52510,266971,3.59,0,1,adult
8,52900,266971,3.59,0,1,adult
20,45840,260694,4.13,0,1,adult
20,45910,260694,4.13,1,0,child
20,45980,260694,4.13,1,0,child
20,46060,260694,4.13,1,0,child
20,47290,260694,4.13,0,1,adult
20,47390,260694,4.13,0,1,adult
20,47480,260694,4.13,0,1,adult
20,47760,260694,4.13,1,0,child
20,48770,260694,4.13,1,1,both
20,48900,260694,4.13,1,0,child
20,48990,260694,4.13,1,0,child
20,49200,260694,4.13,1,0,child
20,49260,260694,4.13,1,1,both
20,49300,260694,4.13,0,1,adult
20,49620,260694,4.13,1,0,child
20,50130,260694,4.13,0,1,adult
20,50270,260694,4.13,1,1,both
20,50400,260694,4.13,0,1,adult
20,52790,260694,4.13,0,1,adult
20,52960,260694,4.13,0,1,adult
20,53250,260694,4.13,1,0,child
20,53520,260694,4.13,1,0,child
20,53930,260694,4.13,1,0,child
52,150,258704,4.79,1,0,child
52,340,258704,4.79,0,1,adult
52,3740,258704,4.79,0,1,adult
52,4760,258704,4.79,0,1,adult
52,4950,258704,4.79,0,1,adult
52,5120,258704,4.79,0,1,adult
52,5510,258704,4.79,0,1,adult
52,5720,258704,4.79,0,1,adult
52,6990,258704,4.79,0,1,adult
52,7180,258704,4.79,0,1,adult
52,7250,258704,4.79,0,1,adult
52,7440,258704,4.79,0,1,adult
52,9240,258704,4.79,0,1,adult
52,9430,258704,4.79,0,1,adult
52,9710,258704,4.79,0,1,adult
52,9940,258704,4.79,0,1,adult
52,10160,258704,4.79,1,1,both
52,11540,258704,4.79,1,0,child
52,11680,258704,4.79,1,0,child
52,12710,258704,4.79,0,1,adult
52,12730,258704,4.79,0,1,adult
52,12810,258704,4.79,0,1,adult
52,13110,258704,4.79,0,1,adult
52,13430,258704,4.79,0,1,adult
52,14050,258704,4.79,0,1,adult
52,14090,258704,4.79,0,1,adult
52,14430,258704,4.79,0,1,adult
52,14710,258704,4.79,0,1,adult
52,14840,258704,4.79,0,1,adult
52,14940,258704,4.79,0,1,adult
52,15400,258704,4.79,0,1,adult
52,16800,258704,4.79,0,1,adult
52,17020,258704,4.79,0,1,adult
52,17170,258704,4.79,0,1,adult
52,17220,258704,4.79,0,1,adult
52,17300,258704,4.79,0,1,adult
52,17390,258704,4.79,0,1,adult
52,18490,258704,4.79,0,1,adult
52,18680,258704,4.79,0,1,adult
52,18710,258704,4.79,0,1,adult
52,18850,258704,4.79,0,1,adult
52,19070,258704,4.79,0,1,adult
52,19390,258704,4.79,0,1,adult
52,21470,258704,4.79,0,1,adult
52,21920,258704,4.79,0,1,adult
52,22190,258704,4.79,0,1,adult
52,22810,258704,4.79,1,0,child
52,28340,258704,4.79,0,1,adult
52,29120,258704,4.79,1,1,both
52,29210,258704,4.79,1,1,both
52,29730,258704,4.79,0,1,adult
52,31110,258704,4.79,0,1,adult
52,31210,258704,4.79,0,1,adult
52,31370,258704,4.79,0,1,adult
52,31720,258704,4.79,0,1,adult
52,31920,258704,4.79,0,1,adult
52,32090,258704,4.79,0,1,adult
52,32940,258704,4.79,0,1,adult
52,35180,258704,4.79,0,1,adult
52,36760,258704,4.79,1,0,child
52,38950,258704,4.79,0,1,adult
52,39020,258704,4.79,0,1,adult
52,39930,258704,4.79,0,1,adult
52,40250,258704,4.79,0,1,adult
52,40360,258704,4.79,0,1,adult
52,40390,258704,4.79,0,1,adult
52,40920,258704,4.79,0,1,adult
52,40940,258704,4.79,0,1,adult
52,41010,258704,4.79,0,1,adult
52,41120,258704,4.79,0,1,adult
52,41390,258704,4.79,1,1,both
52,41880,258704,4.79,0,1,adult
52,41920,258704,4.79,0,1,adult
52,42030,258704,4.79,0,1,adult
52,43100,258704,4.79,0,1,adult
52,43240,258704,4.79,0,1,adult
52,44120,258704,4.79,1,1,both
52,44320,258704,4.79,0,1,adult
52,44540,258704,4.79,0,1,adult
52,45480,258704,4.79,0,1,adult
52,45650,258704,4.79,1,1,both
52,45700,258704,4.79,1,1,both
52,45760,258704,4.79,0,1,adult
52,45950,258704,4.79,0,1,adult
52,46820,258704,4.79,0,1,adult
52,46970,258704,4.79,0,1,adult
52,47460,258704,4.79,0,1,adult
52,48010,258704,4.79,0,1,adult
52,48200,258704,4.79,0,1,adult
52,48550,258704,4.79,0,1,adult
52,48620,258704,4.79,0,1,adult
52,49450,258704,4.79,0,1,adult
52,49520,258704,4.79,0,1,adult
52,49690,258704,4.79,0,1,adult
52,50460,258704,4.79,0,1,adult
52,51360,258704,4.79,0,1,adult
52,52170,258704,4.79,0,1,adult
52,52230,258704,4.79,0,1,adult
52,52670,258704,4.79,0,1,adult
52,52750,258704,4.79,0,1,adult
52,52980,258704,4.79,0,1,adult
52,53130,258704,4.79,0,1,adult
52,53140,258704,4.79,1,1,both
52,53520,258704,4.79,0,1,adult
56,4090,266606,4.54,0,1,adult
56,4460,266606,4.54,0,1,adult
56,5300,266606,4.54,0,1,adult
56,6000,266606,4.54,0,1,adult
56,6080,266606,4.54,0,1,adult
56,6540,266606,4.54,0,1,adult
56,8520,266606,4.54,0,1,adult
56,10000,266606,4.54,0,1,adult
56,10790,266606,4.54,0,1,adult
56,11030,266606,4.54,0,1,adult
56,11610,266606,4.54,0,1,adult
56,11830,266606,4.54,0,1,adult
56,11900,266606,4.54,1,0,child
56,12150,266606,4.54,0,1,adult
56,12510,266606,4.54,0,1,adult
56,12550,266606,4.54,0,1,adult
56,13450,266606,4.54,0,1,adult
56,13570,266606,4.54,0,1,adult
56,13590,266606,4.54,0,1,adult
56,13700,266606,4.54,0,1,adult
56,14590,266606,4.54,0,1,adult
56,15430,266606,4.54,0,1,adult
56,15800,266606,4.54,0,1,adult
56,15810,266606,4.54,0,1,adult
56,15910,266606,4.54,0,1,adult
56,16380,266606,4.54,0,1,adult
56,17470,266606,4.54,0,1,adult
56,17490,266606,4.54,0,1,adult
56,17670,266606,4.54,0,1,adult
56,17700,266606,4.54,0,1,adult
56,17850,266606,4.54,1,0,child
56,17870,266606,4.54,0,1,adult
56,18780,266606,4.54,0,1,adult
56,19300,266606,4.54,0,1,adult
64,870,260772,4.72,1,0,child
64,2720,260772,4.72,0,1,adult
64,3520,260772,4.72,1,0,child
64,4300,260772,4.72,0,1,adult
64,4730,260772,4.72,0,1,adult
64,5120,260772,4.72,0,1,adult
64,5860,260772,4.72,1,0,child
64,6160,260772,4.72,1,0,child
64,6510,260772,4.72,0,1,adult
64,10540,260772,4.72,1,1,both
64,11760,260772,4.72,0,1,adult
64,12500,260772,4.72,0,1,adult
64,12600,260772,4.72,0,1,adult
64,15470,260772,4.72,0,1,adult
64,15860,260772,4.72,0,1,adult
64,16050,260772,4.72,0,1,adult
64,16310,260772,4.72,0,1,adult
64,16670,260772,4.72,1,1,both
64,17460,260772,4.72,0,1,adult
64,17810,260772,4.72,0,1,adult
64,20910,260772,4.72,0,1,adult
64,21330,260772,4.72,0,1,adult
64,22760,260772,4.72,0,1,adult
64,25490,260772,4.72,0,1,adult
64,26460,260772,4.72,0,1,adult
64,26650,260772,4.72,0,1,adult
64,27490,260772,4.72,1,0,child
64,28130,260772,4.72,0,1,adult
64,28320,260772,4.72,0,1,adult
64,28500,260772,4.72,0,1,adult
64,30150,260772,4.72,1,0,child
64,32830,260772,4.72,0,1,adult
64,34240,260772,4.72,0,1,adult
64,34430,260772,4.72,0,1,adult
64,34560,260772,4.72,0,1,adult
64,38520,260772,4.72,0,1,adult
64,38660,260772,4.72,0,1,adult
64,38670,260772,4.72,0,1,adult
64,39400,260772,4.72,0,1,adult
64,39700,260772,4.72,0,1,adult
64,39920,260772,4.72,0,1,adult
64,40220,260772,4.72,0,1,adult
64,40340,260772,4.72,0,1,adult
64,40350,260772,4.72,0,1,adult
64,40710,260772,4.72,0,1,adult
64,42800,260772,4.72,0,1,adult
