video_id,frame_number,child_id,kchi_present,age,object_class
133,26420,255706,0,5.72,none
133,26420,255706,0,5.72,6
133,26420,255706,0,5.72,6
133,26420,255706,0,5.72,7
133,27810,255706,1,5.72,none
133,27810,255706,1,5.72,6
133,27810,255706,1,5.72,7
133,28360,255706,1,5.72,none
133,28360,255706,1,5.72,none
133,28360,255706,1,5.72,7
133,28720,255706,1,5.72,none
133,28720,255706,1,5.72,none
133,28720,255706,1,5.72,6
133,28720,255706,1,5.72,6
133,28720,255706,1,5.72,6
133,28950,255706,0,5.72,none
133,28950,255706,0,5.72,6
133,28950,255706,0,5.72,6
133,28950,255706,0,5.72,7
133,29040,255706,1,5.72,none
133,29040,255706,1,5.72,none
133,29040,255706,1,5.72,6
133,29040,255706,1,5.72,6
133,29040,255706,1,5.72,6
133,29040,255706,1,5.72,7
133,29080,255706,1,5.72,none
133,29080,255706,1,5.72,6
133,29080,255706,1,5.72,6
133,29080,255706,1,5.72,7
133,29230,255706,0,5.72,none
133,29960,255706,0,5.72,none
133,29960,255706,0,5.72,7
133,32910,255706,0,5.72,none
133,34050,255706,0,5.72,none
133,34520,255706,0,5.72,none
133,35400,255706,0,5.72,none
133,36080,255706,0,5.72,none
133,36080,255706,0,5.72,none
140,230,256354,0,5.02,10
140,230,256354,0,5.02,none
140,730,256354,0,5.02,10
140,730,256354,0,5.02,none
140,1190,256354,0,5.02,none
140,1950,256354,0,5.02,none
140,1950,256354,0,5.02,9
140,1950,256354,0,5.02,9
140,2360,256354,0,5.02,none
140,2850,256354,0,5.02,9
140,2850,256354,0,5.02,9
140,2850,256354,0,5.02,9
140,3370,256354,0,5.02,none
140,9930,256354,1,5.02,10
140,9930,256354,1,5.02,none
140,10470,256354,0,5.02,none
140,12100,256354,0,5.02,none
140,12530,256354,1,5.02,none
140,12620,256354,1,5.02,none
140,16440,256354,0,5.02,none
140,17480,256354,0,5.02,none
140,18280,256354,1,5.02,none
140,19900,256354,0,5.02,none
140,20010,256354,0,5.02,none
140,20920,256354,0,5.02,none
140,21190,256354,0,5.02,10
140,21190,256354,0,5.02,10
140,21190,256354,0,5.02,10
140,21190,256354,0,5.02,none
140,22940,256354,0,5.02,none
140,23490,256354,1,5.02,none
140,23810,256354,0,5.02,none
140,24640,256354,0,5.02,none
140,26120,256354,0,5.02,none
140,27480,256354,0,5.02,none
140,28420,256354,0,5.02,none
140,29800,256354,0,5.02,none
140,30830,256354,0,5.02,none
140,34670,256354,0,5.02,none
140,34750,256354,0,5.02,none
151,110,257108,0,4.25,none
151,760,257108,0,4.25,none
151,760,257108,0,4.25,none
151,4450,257108,0,4.25,none
151,4760,257108,1,4.25,none
151,5120,257108,0,4.25,none
151,5200,257108,0,4.25,none
151,5630,257108,0,4.25,none
151,5920,257108,0,4.25,none
151,5990,257108,0,4.25,none
151,6260,257108,1,4.25,none
151,6540,257108,0,4.25,none
151,6790,257108,0,4.25,none
151,7330,257108,0,4.25,none
151,9840,257108,0,4.25,none
151,9980,257108,0,4.25,none
151,11140,257108,1,4.25,none
151,13800,257108,0,4.25,none
151,15320,257108,0,4.25,10
151,15320,257108,0,4.25,none
151,15320,257108,0,4.25,5
151,16200,257108,0,4.25,10
