video_id,frame_number,child_id,kchi_present,age,face_present,person_age_class_1,person_age_class_2,gaze_direction_1,gaze_direction_2
98,3370,258541,0,5.86,0,child,,,
98,25410,258541,0,5.86,0,adult,,,
98,28480,258541,0,5.86,0,,,,
98,29420,258541,0,5.86,0,child,,,
98,29460,258541,0,5.86,0,,,,
98,29600,258541,0,5.86,0,,,,
98,30200,258541,0,5.86,0,,,,
98,30550,258541,0,5.86,0,adult,,,
98,31500,258541,0,5.86,0,child,,,
98,31740,258541,1,5.86,0,,,,
98,32920,258541,1,5.86,1,adult,,0.0,
98,34150,258541,0,5.86,0,child,,,
98,34340,258541,0,5.86,1,child,,0.0,
98,37570,258541,0,5.86,0,,,,
98,37970,258541,0,5.86,0,child,,,
98,40720,258541,0,5.86,1,child,adult,1.0,
98,41460,258541,0,5.86,0,,,,
98,41740,258541,0,5.86,0,,,,
98,43770,258541,1,5.86,1,adult,,1.0,
98,43850,258541,1,5.86,1,adult,,1.0,
98,45660,258541,0,5.86,0,adult,,,
102,760,255695,0,5.06,1,adult,,1.0,
102,1480,255695,0,5.06,0,child,,,
102,7100,255695,0,5.06,0,child,,,
102,7430,255695,0,5.06,0,child,,,
102,8250,255695,1,5.06,0,,,,
102,8500,255695,0,5.06,1,adult,,1.0,
102,9030,255695,0,5.06,1,,,1.0,
102,9200,255695,1,5.06,1,,,0.0,1.0
102,9530,255695,0,5.06,0,child,,,
102,10850,255695,0,5.06,0,adult,,,
102,10900,255695,0,5.06,0,child,,,
102,12260,255695,1,5.06,0,adult,,,
102,12310,255695,0,5.06,1,adult,,1.0,
102,13370,255695,1,5.06,0,adult,,,
102,14150,255695,0,5.06,0,child,,,
102,14680,255695,0,5.06,1,child,,1.0,
102,14940,255695,0,5.06,1,child,,1.0,
102,15020,255695,0,5.06,1,child,,1.0,
102,19190,255695,0,5.06,0,child,adult,,
102,22190,255695,1,5.06,0,child,,,
137,2860,255944,0,5.92,0,adult,,,
137,3080,255944,0,5.92,0,child,,,
137,3180,255944,1,5.92,0,,,,
137,6140,255944,0,5.92,0,child,,,
137,10480,255944,0,5.92,0,child,,,
137,10880,255944,0,5.92,0,child,,,
137,13080,255944,0,5.92,1,adult,,1.0,
137,13100,255944,0,5.92,1,adult,,0.0,
137,17480,255944,1,5.92,0,,,,
137,18790,255944,1,5.92,1,child,,1.0,
137,18940,255944,1,5.92,1,child,adult,1.0,
137,19400,255944,1,5.92,1,child,adult,1.0,
137,19480,255944,1,5.92,1,child,adult,1.0,
137,21350,255944,0,5.92,1,adult,,1.0,
137,22100,255944,0,5.92,0,child,adult,,
137,22310,255944,0,5.92,1,child,adult,0.0,
137,22760,255944,1,5.92,0,adult,,,
137,24750,255944,1,5.92,0,child,,,
137,25740,255944,0,5.92,0,child,adult,,
137,25860,255944,0,5.92,0,child,,,
137,27340,255944,0,5.92,0,,,,
137,27820,255944,0,5.92,0,child,,,
137,31220,255944,0,5.92,1,child,adult,0.0,
137,31480,255944,0,5.92,0,child,,,
137,31660,255944,0,5.92,0,child,,,
137,31720,255944,1,5.92,0,child,,,
137,31760,255944,1,5.92,0,adult,,,
137,32840,255944,0,5.92,0,child,,,
137,33450,255944,0,5.92,1,adult,,0.0,
