PROJECT;ID;Date;Nr;Seconds per ID;Minutes_per_ID;Seconds;Duration;Comments;file name  (generated automatically);SA_name;powershell rename command;Labeled;;nr str;date_str;;
quantex_share;265674;04.04.2024;1;8095;134,92;905,00;00:15:05;;quantex_share_id265674_2024_04_04_01;750871;Rename-Item -Path Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\quantex_share_id265674_2024_04_04_01.MP4  -NewName Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\750871.MP4;yes;;01;2024_04_04;;
quantex_share;266686;04.04.2024;1;10735;178,92;1113,00;00:18:33;;quantex_share_id266686_2024_04_04_01;440485;Rename-Item -Path Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\quantex_share_id266686_2024_04_04_01.MP4  -NewName Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\440485.MP4;yes;;01;2024_04_04;;
quantex_share;265674;18.04.2024;3;8095;134,92;705,00;00:11:45;;quantex_share_id265674_2024_04_18_03;863365;Rename-Item -Path Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\quantex_share_id265674_2024_04_18_03.MP4  -NewName Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\863365.MP4;yes;;03;2024_04_18;;
quantex_share;265674;18.04.2024;2;8095;134,92;1800,00;00:30:00;;quantex_share_id265674_2024_04_18_02;117071;Rename-Item -Path Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\quantex_share_id265674_2024_04_18_02.MP4  -NewName Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\117071.MP4;yes;;02;2024_04_18;;
quantex_share;265674;18.04.2024;1;8095;134,92;1800,00;00:30:00;;quantex_share_id265674_2024_04_18_01;817697;Rename-Item -Path Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\quantex_share_id265674_2024_04_18_01.MP4  -NewName Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\817697.MP4;yes;;01;2024_04_18;;
quantex_share;266686;18.04.2024;3;10735;178,92;769,00;00:12:49;;quantex_share_id266686_2024_04_18_03;860780;Rename-Item -Path Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\quantex_share_id266686_2024_04_18_03.MP4  -NewName Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\860780.MP4;yes;;03;2024_04_18;;
quantex_share;266686;18.04.2024;2;10735;178,92;1800,00;00:30:00;;quantex_share_id266686_2024_04_18_02;756035;Rename-Item -Path Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\quantex_share_id266686_2024_04_18_02.MP4  -NewName Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\756035.MP4;yes;;02;2024_04_18;;
quantex_share;266686;18.04.2024;1;10735;178,92;1800,00;00:30:00;;quantex_share_id266686_2024_04_18_01;998252;Rename-Item -Path Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\quantex_share_id266686_2024_04_18_01.MP4  -NewName Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\998252.MP4;yes;;01;2024_04_18;;
quantex_share;275146;18.04.2024;1;6008;100,13;1326,00;00:22:06;;quantex_share_id275146_2024_04_18_01;287342;Rename-Item -Path Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\quantex_share_id275146_2024_04_18_01.MP4  -NewName Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\287342.MP4;yes;;01;2024_04_18;;
quantex_share;275146;20.04.2024;1;6008;100,13;1355,00;00:22:35;;quantex_share_id275146_2024_04_20_01;126181;Rename-Item -Path Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\quantex_share_id275146_2024_04_20_01.MP4  -NewName Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\126181.MP4;yes;;01;2024_04_20;;
quantex_share;262703;22.04.2024;2;8190;136,50;426,00;00:07:06;;quantex_share_id262703_2024_04_22_02;414660;Rename-Item -Path Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\quantex_share_id262703_2024_04_22_02.MP4  -NewName Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\414660.MP4;yes;;02;2024_04_22;;
quantex_share;262703;22.04.2024;1;8190;136,50;1800,00;00:30:00;;quantex_share_id262703_2024_04_22_01;351105;Rename-Item -Path Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\quantex_share_id262703_2024_04_22_01.MP4  -NewName Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\351105.MP4;yes;;01;2024_04_22;;
quantex_share;264576;23.04.2024;1;5117;85,28;1433,00;00:23:53;;quantex_share_id264576_2024_04_23_01;821988;Rename-Item -Path Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\quantex_share_id264576_2024_04_23_01.MP4  -NewName Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\821988.MP4;yes;;01;2024_04_23;;
quantex_share;265943;23.04.2024;1;5563;92,72;1607,00;00:26:47;;quantex_share_id265943_2024_04_23_01;540737;Rename-Item -Path Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\quantex_share_id265943_2024_04_23_01.MP4  -NewName Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\540737.MP4;yes;;01;2024_04_23;;
quantex_share;265943;24.04.2024;1;5563;92,72;1019,00;00:16:59;;quantex_share_id265943_2024_04_24_01;227279;Rename-Item -Path Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\quantex_share_id265943_2024_04_24_01.MP4  -NewName Y:\Projects\Quantex\quantex_share\RawData\SA_annotation_videos\227279.MP4;yes;;01;2024_04_24;;
